iso,name_en,lat,lon
MK-1,Vardar,41.58,21.918
MK-2,East,41.809,22.455
MK-3,Southwest,41.453,20.91
MK-4,Southeast,41.451,22.557
MK-5,Pelagonia,41.223,21.455
MK-6,Polog,41.826,20.885
MK-7,Northeast,42.155,21.963
MK-8,Skopje,41.984,21.462
