iso,name_en,lat,lon
CY-1,Famagusta,35.204,33.748
CY-2,Kyrenia,35.303,33.206
CY-3,Nicosia,35.075,33.11
CY-4,Paphos,34.899,32.525
CY-5,Larnaca,34.872,33.462
CY-6,Limassol,34.791,32.952
