iso,name_en,lat,lon
PS-JEN,Jenin,32.426,35.255
PS-TBS,Tubas,32.295,35.44
PS-TKM,Tulkarm,32.328,35.084
PS-NBS,Nablus,32.179,35.302
PS-QQA,Qalqilya,32.181,35.067
PS-SLT,Salfit,32.112,35.121
PS-RBH,Ramallah,31.943,35.197
PS-JRH,Jericho,31.968,35.478
PS-JEM,Jerusalem,31.802,35.302
PS-BTH,Bethlehem,31.604,35.307
PS-HBN,Hebron,31.507,35.117
PS-NGZ,North Gaza,31.547,34.506
PS-GZA,Gaza,31.486,34.445
PS-DEB,Deir Al-Balah,31.42,34.374
PS-KYS,Khan Younis,31.328,34.318
PS-RFH,Rafah,31.282,34.283
